percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
79.17	-2.618	51.000	0.000	-2.574	-1.658	2.610	-2.574	-2.531	-2.610	0.480
79.86	-2.531	51.000	0.000	-2.534	-1.639	2.522	-2.534	-2.550	-2.522	0.439
80.56	-2.443	51.000	0.000	-2.472	-1.676	2.447	-2.472	-2.513	-2.447	0.378
81.25	-2.356	51.000	0.000	-2.346	-1.813	2.335	-2.346	-2.376	-2.335	0.252
81.94	-2.269	51.000	0.000	-2.258	-1.905	2.253	-2.258	-2.283	-2.253	0.164
82.64	-2.182	51.000	0.000	-2.196	-1.958	2.191	-2.196	-2.231	-2.191	0.102
83.33	-2.094	51.000	0.000	-2.108	0.949	2.111	-2.105	1.145	-2.111	0.011
84.03	-2.007	51.000	0.000	-1.997	0.829	2.013	-1.980	1.265	-2.013	-0.114
84.72	-1.920	51.000	0.000	-1.937	-1.819	1.937	-1.969	-2.370	-1.937	-0.126
85.42	-1.833	51.000	0.000	-1.796	-1.822	1.796	-1.786	-2.367	-1.796	-0.309
86.11	-1.745	51.000	0.000	-1.759	-1.820	1.759	-1.731	-2.369	-1.759	-0.363
86.81	-1.658	51.000	0.000	-1.679	-1.600	1.679	-1.735	-2.588	-1.679	-0.359
87.50	-1.571	51.000	0.000	-1.540	-1.517	1.540	-1.564	-2.671	-1.540	-0.530
88.19	-1.484	51.000	0.000	-1.476	-1.472	1.476	-1.481	-2.717	-1.476	-0.614
88.89	-1.396	51.000	0.000	-1.393	-1.406	1.393	-1.369	-2.783	-1.393	-0.726
89.58	-1.309	51.000	0.000	-1.282	-1.363	1.330	-1.233	-2.825	-1.330	-0.861
90.28	-1.222	51.000	0.000	-1.240	-1.248	1.245	-1.234	-2.940	-1.245	-0.861
90.97	-1.134	51.000	0.000	-1.140	-1.144	1.136	2.171	-3.045	-1.136	2.017
91.67	-1.047	51.000	0.000	-1.066	-1.082	1.050	2.330	-3.106	-1.050	1.859
