percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
91.67	-1.047	51.000	0.000	-1.100	-1.045	1.100	-1.359	3.139	-1.100	-0.736
92.36	-0.960	51.000	0.000	1.096	-0.931	1.096	-1.597	3.025	-1.096	-0.498
93.06	-0.873	51.000	0.000	-0.859	-0.904	0.815	2.434	2.998	-0.815	1.755
93.75	-0.785	51.000	0.000	-0.737	-0.737	0.755	-1.395	2.831	-0.755	-0.700
94.44	-0.698	51.000	0.000	-0.703	-0.761	0.644	2.360	2.856	-0.644	1.829
95.14	-0.611	51.000	0.000	-0.651	-0.651	0.562	-1.278	2.746	-0.562	-0.816
95.83	-0.524	51.000	0.000	-0.500	-0.500	0.603	-1.691	2.595	-0.603	-0.404
96.53	-0.436	51.000	0.000	-0.383	-0.383	0.418	-1.733	2.478	-0.418	-0.362
97.22	-0.349	51.000	0.000	-0.336	-0.336	0.458	-1.828	2.431	-0.458	-0.267
97.92	-0.262	51.000	0.000	-0.340	-0.340	0.254	-1.715	2.434	-0.254	-0.379
98.61	-0.175	51.000	0.000	-0.285	-0.285	0.280	-1.807	2.380	-0.280	-0.288
99.31	-0.087	51.000	0.000	-0.115	-0.115	0.076	-1.975	2.210	-0.076	-0.120
100.00	0.000	51.000	0.000	0.018	0.018	2.831	-2.056	2.077	-2.831	-0.038
