percent	ang_W	r	phase	choose_angle	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
0.00	0.000	51.000	0.000	0.057	-0.122	0.065	3.046	2.565	-1.306	1.378	-2.578	-3.046	-0.052	0.049
0.69	0.087	51.000	0.000	0.107	0.081	0.107	0.230	2.422	-1.397	1.175	-2.621	-0.230	0.091	0.140
1.39	0.175	51.000	0.000	0.240	0.240	0.144	0.258	2.405	-1.530	1.017	-2.657	-0.258	0.108	0.273
2.08	0.262	51.000	0.000	0.282	0.059	0.282	0.337	2.214	-1.410	1.198	-2.795	-0.337	0.299	0.154
2.78	0.349	51.000	0.000	0.373	-2.445	0.309	0.447	2.158	-1.647	-2.582	-2.823	-0.447	0.355	0.390
3.47	0.436	51.000	0.000	0.423	0.423	0.400	0.424	2.144	-1.701	0.834	-2.914	-0.424	0.369	0.444
4.17	0.524	51.000	0.000	0.501	-2.286	0.482	0.513	1.964	-1.745	-2.740	-2.995	-0.513	0.549	0.489
4.86	0.611	51.000	0.000	0.632	-2.155	0.626	0.579	1.876	-1.914	-2.872	-3.139	-0.579	0.637	0.658
5.56	0.698	51.000	0.000	0.750	0.370	0.718	0.750	1.717	-1.928	0.887	3.052	-0.750	0.797	0.671
6.25	0.785	51.000	0.000	0.767	0.489	0.835	0.701	1.912	-2.130	0.767	2.935	-0.701	0.601	0.873
6.94	0.873	51.000	0.000	0.913	-2.358	0.794	0.950	1.571	-2.140	-2.669	2.976	-0.950	0.943	0.883
7.64	0.960	51.000	0.000	0.937	-2.297	0.992	0.882	1.639	-2.286	-2.730	2.778	-0.882	0.874	1.029
8.33	1.047	51.000	0.000	1.096	0.108	1.096	1.049	1.410	-2.284	1.149	2.674	-1.049	1.103	1.028
9.03	1.134	51.000	0.000	1.130	0.199	1.126	1.134	-2.072	-2.395	1.058	2.644	-1.134	-1.698	1.138
9.72	1.222	51.000	0.000	1.228	0.006	1.233	1.222	-2.075	-2.450	1.250	2.537	-1.222	-1.695	1.193
10.42	1.309	51.000	0.000	1.332	0.036	1.373	1.306	-2.152	-2.615	1.220	2.397	-1.306	-1.618	1.359
11.11	1.396	51.000	0.000	1.378	-0.151	1.208	1.493	1.380	-2.633	1.408	2.562	-1.493	1.133	1.376
11.81	1.484	51.000	0.000	1.456	-0.161	1.462	1.456	1.447	-2.746	1.418	2.308	-1.456	1.067	1.489
12.50	1.571	51.000	0.000	1.558	-0.420	-1.091	1.584	1.498	-2.788	1.676	-1.423	-1.584	1.016	1.531
13.19	1.658	51.000	0.000	1.606	-0.436	1.545	1.722	1.535	-2.863	1.693	2.225	-1.722	0.979	1.606
13.89	1.745	51.000	0.000	1.746	-0.371	1.474	1.758	1.734	-3.056	1.627	2.296	-1.758	0.780	1.799
