percent	ang_W	r	phase	choose_angle	delta_1_x_5	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_5_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5
84.72	-1.920	51.000	0.000	-1.879	-1.815	-0.569	1.802	1.628	-1.955	3.072	-1.944	-1.802	0.886	0.699
85.42	-1.833	51.000	0.000	-1.777	-1.743	-0.839	1.833	-2.023	-1.807	3.000	-1.675	-1.833	-1.747	0.551
86.11	-1.745	51.000	0.000	-1.724	-1.746	-0.867	1.740	1.369	-1.709	3.003	-1.646	-1.740	1.144	0.452
86.81	-1.658	51.000	0.000	-1.657	-1.735	-0.981	1.694	1.355	-1.620	2.992	-1.532	-1.694	1.158	0.364
87.50	-1.571	51.000	0.000	-1.554	-1.630	-0.942	1.554	-2.346	-1.414	2.887	-1.571	-1.554	-1.424	0.158
88.19	-1.484	51.000	0.000	-1.456	-1.536	-1.058	1.485	-2.339	-1.385	2.793	-1.456	-1.485	-1.431	0.129
88.89	-1.396	51.000	0.000	-1.415	-1.422	1.708	1.458	-2.384	-1.407	2.679	2.062	-1.458	-1.386	0.151
89.58	-1.309	51.000	0.000	-1.327	-1.392	1.692	1.349	-2.465	-1.209	2.648	2.077	-1.349	-1.305	-0.048
90.28	-1.222	51.000	0.000	-1.196	-1.217	1.688	1.248	-2.604	-1.174	2.474	2.082	-1.248	-1.166	-0.083
90.97	-1.134	51.000	0.000	-1.183	-1.154	-1.172	1.186	-2.590	-1.238	2.410	-1.341	-1.186	-1.180	-0.019
91.67	-1.047	51.000	0.000	-0.971	-1.066	-0.883	1.035	-2.799	-0.931	2.322	-1.630	-1.035	-0.971	-0.325
92.36	-0.960	51.000	0.000	-0.926	-0.977	-0.785	0.923	-2.845	-0.927	2.234	-1.728	-0.923	-0.925	-0.329
93.06	-0.873	51.000	0.000	-0.885	-0.885	-0.760	0.806	-2.814	-1.041	2.142	-1.753	-0.806	-0.956	-0.215
93.75	-0.785	51.000	0.000	-0.758	-0.758	-0.793	0.723	-2.968	-0.755	2.014	-1.720	-0.723	-0.802	-0.502
94.44	-0.698	51.000	0.000	-0.714	-0.680	-0.752	0.748	-3.107	2.632	1.936	-1.761	-0.748	-0.663	2.394
95.14	-0.611	51.000	0.000	-0.576	-0.517	-0.676	0.635	3.019	2.787	1.773	-1.837	-0.635	-0.506	2.240
95.83	-0.524	51.000	0.000	-0.489	-0.455	-0.489	0.504	3.004	-0.941	1.712	-2.024	-0.504	-0.491	-0.316
96.53	-0.436	51.000	0.000	-0.405	-0.421	-0.409	0.402	2.875	2.781	1.677	-2.105	-0.402	-0.362	2.246
97.22	-0.349	51.000	0.000	-0.355	-0.372	-0.350	0.307	2.869	-0.785	1.628	-2.164	-0.307	-0.355	-0.472
97.92	-0.262	51.000	0.000	-0.220	-0.234	-0.205	2.849	2.862	-1.176	1.490	-2.308	-2.849	-0.349	-0.081
98.61	-0.175	51.000	0.000	-0.208	-0.158	-0.282	0.361	2.705	-1.048	1.414	-2.231	-0.361	-0.191	-0.208
99.31	-0.087	51.000	0.000	3.142	-0.092	-0.064	3.109	2.645	-1.273	1.349	-2.449	-3.109	-0.132	0.016
100.00	0.000	51.000	0.000	0.032	-0.050	0.045	0.156	2.494	-1.267	1.307	-2.558	-0.156	0.019	0.010
