percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
88.19	-1.484	51.000	0.000	-1.453	1.407	-1.495	1.453	-1.387	-2.694	-1.453	-0.707
88.89	-1.396	51.000	0.000	-1.269	1.109	-1.370	1.330	-1.209	-2.819	-1.330	-0.886
89.58	-1.309	51.000	0.000	-1.229	1.453	-1.176	1.229	-1.389	-3.013	-1.229	-0.705
90.28	-1.222	51.000	0.000	2.094	-1.220	-1.180	1.170	2.113	-3.009	-1.170	2.076
90.97	-1.134	51.000	0.000	-1.219	2.603	-1.124	1.219	-1.477	-3.065	-1.219	-0.617
91.67	-1.047	51.000	0.000	-1.021	0.965	-1.025	1.018	2.202	3.119	-1.018	1.987
92.36	-0.960	51.000	0.000	-1.006	-1.047	-1.005	1.007	-1.116	3.099	-1.007	-0.979
93.06	-0.873	51.000	0.000	-0.891	-0.423	-0.891	0.934	-1.353	2.985	-0.934	-0.741
93.75	-0.785	51.000	0.000	-0.814	-1.583	-0.814	0.898	-1.476	2.909	-0.898	-0.619
94.44	-0.698	51.000	0.000	-0.643	-2.594	-0.643	0.643	-1.451	2.737	-0.643	-0.643
95.14	-0.611	51.000	0.000	-0.588	3.079	-0.588	0.544	-1.450	2.682	-0.544	-0.644
95.83	-0.524	51.000	0.000	-0.554	-2.381	-0.554	0.557	-1.544	2.648	-0.557	-0.550
96.53	-0.436	51.000	0.000	-0.492	-0.095	-0.492	0.345	-1.476	2.586	-0.345	-0.618
97.22	-0.349	51.000	0.000	-0.375	-2.827	-0.375	0.344	-1.701	2.470	-0.344	-0.393
97.92	-0.262	51.000	0.000	-0.240	-3.135	-0.240	0.228	-1.851	2.334	-0.228	-0.243
98.61	-0.175	51.000	0.000	-0.242	1.762	-0.242	0.167	-1.831	2.336	-0.167	-0.263
99.31	-0.087	51.000	0.000	-0.106	-1.233	-0.106	0.350	-2.055	2.200	-0.350	-0.039
100.00	0.000	51.000	0.000	0.196	-2.642	-0.028	0.350	-2.135	2.123	-0.350	0.041
