percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
63.19	1.658	51.000	0.000	1.640	0.455	1.640	2.550	1.640	-1.640	1.639
63.89	1.745	51.000	0.000	1.756	0.335	1.756	2.439	1.759	-1.756	1.750
64.58	1.833	51.000	0.000	1.855	0.256	1.845	2.324	1.838	-1.845	1.865
65.28	1.920	51.000	0.000	1.942	0.191	1.914	2.220	1.904	-1.914	1.969
65.97	2.007	51.000	0.000	1.994	0.092	1.986	2.291	2.003	-1.986	1.897
66.67	2.094	51.000	0.000	2.092	0.013	2.103	-1.243	2.081	-2.103	-0.852
67.36	2.182	51.000	0.000	2.191	-0.077	2.210	-1.286	2.172	-2.210	-0.808
68.06	2.269	51.000	0.000	2.272	-0.168	2.282	-1.074	2.263	-2.282	-1.020
68.75	2.356	51.000	0.000	2.331	-0.237	2.337	2.314	2.331	-2.337	1.875
69.44	2.443	51.000	0.000	2.470	-0.376	2.532	2.352	2.470	-2.532	1.837
70.14	2.531	51.000	0.000	2.516	-0.422	2.528	2.499	2.516	-2.528	1.689
70.83	2.618	51.000	0.000	2.608	-0.514	2.638	2.578	2.608	-2.638	1.611
71.53	2.705	51.000	0.000	2.701	-0.606	2.729	2.680	2.701	-2.729	1.509
72.22	2.793	51.000	0.000	2.768	-0.674	2.718	2.799	2.768	-2.718	1.390
72.92	2.880	51.000	0.000	2.891	-0.818	0.095	2.870	2.913	-0.095	1.319
73.61	2.967	51.000	0.000	2.966	-0.871	2.962	2.967	2.966	-2.962	1.222
74.31	3.054	51.000	0.000	3.099	-0.992	2.932	3.111	3.087	-2.932	1.078
75.00	3.142	51.000	0.000	-3.139	-1.059	0.175	3.135	-3.130	-0.175	1.054
75.69	-3.054	51.000	0.000	-3.066	-1.109	2.910	-3.052	-3.080	-2.910	0.958
76.39	-2.967	51.000	0.000	-3.011	-1.173	2.957	-3.006	-3.016	-2.957	0.912
77.08	-2.880	51.000	0.000	-2.878	-1.318	2.897	-2.878	-2.871	-2.897	0.784
77.78	-2.793	51.000	0.000	-2.809	-1.429	2.924	-2.809	-2.760	-2.924	0.714
78.47	-2.705	51.000	0.000	-2.685	-1.495	2.673	-2.685	-2.694	-2.673	0.590
79.17	-2.618	51.000	0.000	-2.598	-1.572	2.580	-2.598	-2.617	-2.580	0.503
79.86	-2.531	51.000	0.000	-2.508	-1.714	2.531	-2.508	-2.474	-2.531	0.414
80.56	-2.443	51.000	0.000	-2.458	-1.713	2.448	-2.458	-2.476	-2.448	0.364
81.25	-2.356	51.000	0.000	-2.386	-1.740	2.357	-2.386	-2.449	-2.357	0.291
81.94	-2.269	51.000	0.000	-2.236	-1.947	2.235	-2.236	-2.242	-2.235	0.141
82.64	-2.182	51.000	0.000	-2.194	-1.987	2.193	-2.194	-2.201	-2.193	0.100
83.33	-2.094	51.000	0.000	-2.081	-2.065	2.081	-2.082	-2.123	-2.081	-0.013
84.03	-2.007	51.000	0.000	-1.981	-1.830	1.981	-2.016	-2.359	-1.981	-0.079
84.72	-1.920	51.000	0.000	-1.890	0.834	1.916	-1.864	1.260	-1.916	-0.230
85.42	-1.833	51.000	0.000	-1.877	-1.904	1.850	-1.834	-2.285	-1.850	-0.261
86.11	-1.745	51.000	0.000	-1.745	-1.795	1.745	-1.720	-2.393	-1.745	-0.374
