percent	ang_W	r	phase	choose_angle	choose_angle_GN	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
75.69	-3.054	51.000	0.000	-3.080	NaN	-1.141	3.108	-3.052	-3.048	-3.108	0.958
76.39	-2.967	51.000	0.000	-2.967	-0.375	-1.219	2.941	-2.964	-2.970	-2.941	0.870
77.08	-2.880	51.000	0.000	-2.892	-0.125	-1.305	2.916	-2.892	-2.884	-2.916	0.797
77.78	-2.793	51.000	0.000	-2.786	-1.698	-1.408	2.794	-2.786	-2.781	-2.794	0.691
78.47	-2.705	51.000	0.000	-2.717	-0.139	-1.463	2.704	-2.717	-2.726	-2.704	0.622
79.17	-2.618	51.000	0.000	-2.619	0.808	-1.551	2.600	-2.619	-2.637	-2.600	0.524
79.86	-2.531	51.000	0.000	-2.519	NaN	-1.650	2.505	-2.519	-2.539	-2.505	0.424
80.56	-2.443	51.000	0.000	-2.443	-0.135	-1.753	2.446	-2.443	-2.436	-2.446	0.348
81.25	-2.356	51.000	0.000	-2.368	NaN	-1.804	2.362	-2.368	-2.384	-2.362	0.274
81.94	-2.269	51.000	0.000	-2.232	NaN	-1.986	2.272	-2.261	-2.203	-2.272	0.167
82.64	-2.182	51.000	0.000	1.047	-1.022	1.015	2.188	-2.183	1.079	-2.188	0.088
83.33	-2.094	51.000	0.000	-2.087	-0.222	-1.983	2.084	-2.091	-2.206	-2.084	-0.003
84.03	-2.007	51.000	0.000	-2.019	-2.948	-2.028	2.010	-2.008	-2.160	-2.010	-0.087
84.72	-1.920	51.000	0.000	-1.920	-2.813	-1.893	1.917	-1.923	-2.296	-1.917	-0.171
85.42	-1.833	51.000	0.000	-1.822	-0.144	-1.828	1.822	-1.820	-2.361	-1.822	-0.275
86.11	-1.745	51.000	0.000	-1.755	-2.072	-1.737	1.755	-1.765	-2.452	-1.755	-0.329
86.81	-1.658	51.000	0.000	-1.664	NaN	-1.657	1.664	-1.669	-2.532	-1.664	-0.425
87.50	-1.571	51.000	0.000	-1.572	-0.423	-1.556	1.572	-1.588	-2.633	-1.572	-0.507
88.19	-1.484	51.000	0.000	-1.487	0.807	-1.489	1.487	-1.484	-2.699	-1.487	-0.610
88.89	-1.396	51.000	0.000	-1.388	3.083	-1.394	1.388	-1.377	-2.795	-1.388	-0.717
89.58	-1.309	51.000	0.000	-1.317	1.307	-1.316	1.317	-1.322	-2.873	-1.317	-0.773
90.28	-1.222	51.000	0.000	-1.181	-0.219	-1.215	1.206	-1.156	-2.974	-1.206	-0.938
90.97	-1.134	51.000	0.000	2.094	NaN	-1.136	1.131	2.122	-3.053	-1.131	2.066
91.67	-1.047	51.000	0.000	-1.053	-2.117	-1.056	1.051	2.188	-3.133	-1.051	2.001
