percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
38.19	-1.484	51.000	0.000	-1.484	1.491	-1.484	-1.501	1.484	-1.461	-2.687	-1.484	-0.634
38.89	-1.396	51.000	0.000	-1.384	1.391	-1.408	-1.358	1.384	-1.433	-2.831	-1.384	-0.661
39.58	-1.309	51.000	0.000	-1.269	1.314	-1.323	-1.212	1.269	-1.415	-2.977	-1.269	-0.679
40.28	-1.222	51.000	0.000	-1.248	1.234	-1.227	-1.248	1.248	-1.248	-2.941	-1.248	-0.846
40.97	-1.134	51.000	0.000	-1.130	1.143	-1.150	-1.157	1.103	2.389	-3.031	-1.103	1.800
41.67	-1.047	51.000	0.000	0.963	1.061	-1.042	-0.996	0.963	2.325	3.091	-0.963	1.864
42.36	-0.960	51.000	0.000	-0.881	0.979	-0.951	-0.881	0.970	-1.461	2.976	-0.970	-0.633
43.06	-0.873	51.000	0.000	-0.888	0.862	-0.904	-0.897	0.879	2.172	2.992	-0.879	2.017
43.75	-0.785	51.000	0.000	-0.825	0.792	-0.784	-0.825	0.812	-1.219	2.920	-0.812	-0.875
44.44	-0.698	51.000	0.000	-0.715	0.689	-0.709	-0.761	0.668	2.295	2.855	-0.668	1.894
45.14	-0.611	51.000	0.000	-0.564	0.614	-0.627	-0.564	0.436	-1.376	2.658	-0.436	-0.718
45.83	-0.524	51.000	0.000	-0.522	0.536	-0.511	-0.522	0.466	-1.516	2.617	-0.466	-0.579
46.53	-0.436	51.000	0.000	-0.416	0.428	-0.447	-0.416	0.348	-1.634	2.510	-0.348	-0.461
47.22	-0.349	51.000	0.000	-0.347	0.367	-0.342	-0.347	0.370	-1.760	2.441	-0.370	-0.334
47.92	-0.262	51.000	0.000	-0.276	0.272	-0.255	-0.276	0.463	-1.910	2.371	-0.463	-0.184
48.61	-0.175	51.000	0.000	-0.157	0.202	-0.157	-0.157	0.137	-1.933	2.252	-0.137	-0.161
49.31	-0.087	51.000	0.000	-0.106	3.049	-0.075	-0.147	0.397	-2.030	2.241	-0.397	-0.064
50.00	0.000	51.000	0.000	0.100	0.084	-0.021	-0.011	0.190	-2.104	2.105	-0.190	0.010
50.69	0.087	51.000	0.000	0.109	0.136	0.096	-0.000	0.444	-2.203	2.094	-0.444	0.109
51.39	0.175	51.000	0.000	0.168	0.237	0.187	0.149	0.240	-2.262	1.945	-0.240	0.168
52.08	0.262	51.000	0.000	0.244	0.230	0.284	0.271	2.966	-2.311	1.823	-2.966	0.217
52.78	0.349	51.000	0.000	0.299	0.387	0.368	0.290	0.321	-2.394	1.805	-0.321	0.299
53.47	0.436	51.000	0.000	0.459	0.461	0.422	0.496	0.411	-2.553	1.599	-0.411	0.459
54.17	0.524	51.000	0.000	0.519	0.557	0.527	0.493	0.546	-2.613	1.602	-0.546	0.519
54.86	0.611	51.000	0.000	0.631	0.635	0.625	0.568	0.676	-2.725	1.527	-0.676	0.631
55.56	0.698	51.000	0.000	0.686	0.710	0.693	0.624	0.722	-2.780	1.471	-0.722	0.686
56.25	0.785	51.000	0.000	0.799	0.796	0.766	-1.919	0.771	-2.921	-2.269	-0.771	0.826
56.94	0.873	51.000	0.000	0.906	0.888	0.864	-1.758	0.867	-3.039	-2.431	-0.867	0.945
57.64	0.960	51.000	0.000	1.007	0.967	0.951	0.927	1.011	-3.098	1.168	-1.011	1.003
58.33	1.047	51.000	0.000	1.000	1.061	1.038	-1.725	0.960	-3.135	-2.464	-0.960	1.041
59.03	1.134	51.000	0.000	1.103	1.147	1.145	-1.961	1.097	3.080	-2.228	-1.097	1.109
59.72	1.222	51.000	0.000	1.198	1.216	1.204	0.919	1.221	2.959	1.176	-1.221	1.230
60.42	1.309	51.000	0.000	1.361	1.314	1.323	0.659	1.361	2.866	1.435	-1.361	1.323
61.11	1.396	51.000	0.000	1.480	1.419	1.388	0.624	1.480	2.702	1.470	-1.480	1.487
61.81	1.484	51.000	0.000	1.465	1.492	1.494	0.554	1.465	2.779	1.541	-1.465	1.410
62.50	1.571	51.000	0.000	1.493	1.585	1.571	0.429	1.493	2.836	1.666	-1.493	1.353
63.19	1.658	51.000	0.000	1.578	1.665	1.663	0.607	1.669	-1.126	1.487	-1.669	-0.968
63.89	1.745	51.000	0.000	1.869	1.752	1.756	0.394	1.770	2.221	1.700	-1.770	1.968
64.58	1.833	51.000	0.000	1.863	1.845	1.817	0.378	1.777	2.239	1.716	-1.777	1.950
65.28	1.920	51.000	0.000	1.894	1.934	1.908	0.208	1.889	2.290	1.886	-1.889	1.899
65.97	2.007	51.000	0.000	2.018	2.025	2.016	0.019	2.018	2.417	2.076	-2.018	1.772
66.67	2.094	51.000	0.000	2.068	2.112	2.096	0.033	2.076	-1.203	2.061	-2.076	-0.891
67.36	2.182	51.000	0.000	2.158	2.189	2.201	-0.074	2.146	2.303	2.169	-2.146	1.886
68.06	2.269	51.000	0.000	2.245	2.265	2.285	-0.191	2.302	2.204	2.286	-2.302	1.985
68.75	2.356	51.000	0.000	2.330	2.356	2.360	-0.236	2.302	2.407	2.330	-2.302	1.782
69.44	2.443	51.000	0.000	2.467	2.461	2.450	-0.373	2.527	2.351	2.467	-2.527	1.837
70.14	2.531	51.000	0.000	2.528	2.527	2.541	-0.434	2.564	2.479	2.528	-2.564	1.710
70.83	2.618	51.000	0.000	2.658	2.634	2.621	-0.563	2.716	2.608	2.658	-2.716	1.581
