percent	ang_W	r	phase	choose_angle_GEOMETRIC	choose_angle_MSC_ULA	choose_angle_MSC_UCA	delta_1_x_7	delta_2_x_1	delta_3_x_2	delta_4_x_3	delta_5_x_4	delta_6_x_5	delta_7_x_6	delta_7_x_1	delta_1_x_2	delta_2_x_3	delta_3_x_4	delta_4_x_5	delta_5_x_6	delta_6_x_7
0.00	0.000	51.000	0.000	0.052	3.065	0.003	0.052	0.011	-0.005	0.120	1.820	-2.722	-0.956	0.845	2.682	-1.790	-0.120	-0.025	0.029	0.059
0.69	0.087	51.000	0.000	0.089	0.098	0.091	-0.115	0.074	0.105	2.968	1.644	-2.721	-0.754	1.012	2.619	-1.900	-2.968	0.152	0.028	-0.144
1.39	0.175	51.000	0.000	0.132	0.168	0.173	0.035	0.269	0.113	2.994	1.689	-2.887	-1.048	0.862	2.424	-1.908	-2.994	0.106	0.194	0.151
2.08	0.262	51.000	0.000	0.276	0.267	0.265	-2.428	0.284	0.221	0.269	1.567	-2.981	-1.206	-2.958	2.409	-2.016	-0.269	0.228	0.288	0.308
2.78	0.349	51.000	0.000	0.367	0.358	0.349	-2.624	0.370	0.321	0.414	1.410	-3.035	-1.261	-2.761	2.323	-2.116	-0.414	0.385	0.342	0.364
3.47	0.436	51.000	0.000	0.460	0.447	0.433	-2.309	0.305	0.529	0.435	1.291	3.105	-1.306	-3.076	2.388	-2.324	-0.435	0.505	0.485	0.408
4.17	0.524	51.000	0.000	0.500	0.541	0.531	-2.452	0.508	0.494	0.500	1.437	2.985	-1.391	-2.934	2.185	-2.289	-0.500	0.358	0.605	0.494
4.86	0.611	51.000	0.000	0.605	0.632	0.613	-2.524	0.602	0.628	0.488	1.342	2.983	-1.548	-2.862	2.090	-2.424	-0.488	0.453	0.607	0.651
5.56	0.698	51.000	0.000	0.701	0.721	0.707	-2.510	0.674	0.701	0.756	-2.485	2.935	-1.664	-2.875	2.019	-2.496	-0.756	-2.003	0.655	0.767
6.25	0.785	51.000	0.000	0.773	0.810	0.787	0.163	0.879	0.736	0.745	1.251	2.774	-1.698	0.735	1.813	-2.532	-0.745	0.544	0.816	0.801
6.94	0.873	51.000	0.000	0.872	0.897	0.878	0.105	0.969	0.818	0.958	-2.660	2.718	-1.769	0.793	1.723	-2.613	-0.958	-1.828	0.872	0.871
7.64	0.960	51.000	0.000	0.970	0.983	0.960	0.139	0.768	0.988	0.951	-2.345	2.684	-1.903	0.758	1.925	-2.783	-0.951	-2.143	0.906	1.005
8.33	1.047	51.000	0.000	1.049	1.073	1.049	-0.187	-1.605	1.035	1.046	-2.360	2.541	-1.954	1.084	-1.986	-2.830	-1.046	-2.128	1.049	1.057
