Caso	R²
Ideal	\SI{100.00}{\percent}
$\text{\acs{SNR}} = \SI{0}{\deci\bel}$	\SI{80.73}{\percent}
$\text{\acs{SNR}} = \SI{0}{\deci\bel}$ e \acs{ATT}	\SI{96.28}{\percent}
