percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
0.69	0.000	51.000	0.000	-0.051	-0.028	2.866	-2.021	2.123	-2.866	-0.074
1.38	0.087	51.000	0.000	0.044	0.048	3.023	-2.133	2.046	-3.023	0.039
2.07	0.175	51.000	0.000	0.152	0.134	0.294	-2.265	1.961	-0.294	0.170
2.76	0.262	51.000	0.000	0.242	0.265	0.157	-2.336	1.829	-0.157	0.242
3.45	0.349	51.000	0.000	0.418	0.349	0.514	-2.513	1.746	-0.514	0.418
4.14	0.436	51.000	0.000	0.331	0.361	0.266	-2.425	1.734	-0.266	0.331
4.83	0.524	51.000	0.000	0.488	0.623	0.328	-2.582	1.472	-0.328	0.488
5.52	0.611	51.000	0.000	0.669	0.636	0.690	-2.764	1.458	-0.690	0.669
6.21	0.698	51.000	0.000	0.707	0.764	0.679	-2.801	1.330	-0.679	0.707
6.90	0.785	51.000	0.000	0.740	0.850	0.698	-2.834	1.245	-0.698	0.740
7.59	0.873	51.000	0.000	0.783	0.690	0.823	-2.878	1.404	-0.823	0.783
8.28	0.960	51.000	0.000	1.034	0.839	1.034	-3.104	1.255	-1.034	1.009
8.97	1.047	51.000	0.000	1.043	-1.885	1.030	3.134	-2.304	-1.030	1.055
9.66	1.134	51.000	0.000	1.179	0.876	1.179	3.018	1.218	-1.179	1.171
10.34	1.222	51.000	0.000	1.169	0.980	1.225	2.946	1.114	-1.225	1.243
11.03	1.309	51.000	0.000	1.288	0.621	1.324	2.936	1.473	-1.324	1.253
11.72	1.396	51.000	0.000	1.488	0.920	1.431	2.644	1.174	-1.431	1.545
12.41	1.484	51.000	0.000	1.511	0.503	1.511	2.746	1.591	-1.511	1.443
13.10	1.571	51.000	0.000	1.523	0.608	1.523	2.635	1.486	-1.523	1.554
13.79	1.658	51.000	0.000	1.606	0.536	1.606	2.530	1.559	-1.606	1.659
14.48	1.745	51.000	0.000	1.786	0.277	1.755	2.543	1.818	-1.755	1.646
15.17	1.833	51.000	0.000	1.788	0.245	1.788	2.521	1.849	-1.788	1.668
15.86	1.920	51.000	0.000	1.916	0.172	1.916	2.295	1.922	-1.916	1.894
16.55	2.007	51.000	0.000	2.001	0.121	2.030	-1.345	1.973	-2.030	-0.750
17.24	2.094	51.000	0.000	1.626	-0.021	1.994	2.563	2.116	-1.994	1.626
17.93	2.182	51.000	0.000	2.139	-0.028	2.156	-1.285	2.122	-2.156	-0.809
18.62	2.269	51.000	0.000	2.245	-0.135	2.261	-1.225	2.229	-2.261	-0.869
19.31	2.356	51.000	0.000	2.458	-0.364	2.414	2.532	2.458	-2.414	1.657
20.00	2.443	51.000	0.000	2.444	-0.350	2.452	2.428	2.444	-2.452	1.760
20.69	2.531	51.000	0.000	2.450	-0.356	2.446	2.458	2.450	-2.446	1.731
21.38	2.618	51.000	0.000	2.564	-0.469	2.621	2.492	2.564	-2.621	1.697
22.07	2.705	51.000	0.000	2.665	-0.571	2.628	2.698	2.665	-2.628	1.491
22.76	2.793	51.000	0.000	2.766	-0.672	2.794	2.750	2.766	-2.794	1.438
23.45	2.880	51.000	0.000	0.244	-0.804	0.244	2.812	2.898	-0.244	1.376
24.14	2.967	51.000	0.000	2.934	-0.782	2.645	2.991	2.876	-2.645	1.198
24.83	3.054	51.000	0.000	3.019	-0.924	2.900	3.045	3.019	-2.900	1.144
25.52	3.142	51.000	0.000	-3.068	-1.127	0.136	-3.075	-3.061	-0.136	0.981
26.21	-3.054	51.000	0.000	-3.054	-1.144	0.152	-3.063	-3.045	-0.152	0.968
26.90	-2.967	51.000	0.000	-2.851	-1.377	2.963	-2.851	-2.812	-2.963	0.756
27.59	-2.880	51.000	0.000	-2.892	-1.321	2.979	-2.892	-2.867	-2.979	0.798
28.28	-2.793	51.000	0.000	-2.897	-1.298	2.916	-2.897	-2.891	-2.916	0.803
28.97	-2.705	51.000	0.000	-2.699	-1.541	2.771	-2.699	-2.648	-2.771	0.605
29.66	-2.618	51.000	0.000	-2.630	-1.572	2.644	-2.630	-2.617	-2.644	0.536
30.34	-2.531	51.000	0.000	-2.545	-1.593	2.504	-2.545	-2.596	-2.504	0.450
31.03	-2.443	51.000	0.000	-2.457	-1.907	2.536	-2.457	-2.282	-2.536	0.363
31.72	-2.356	51.000	0.000	-2.383	-1.763	2.364	-2.383	-2.426	-2.364	0.288
32.41	-2.269	51.000	0.000	-2.328	-1.688	2.256	-2.328	-2.501	-2.256	0.234
33.10	-2.182	51.000	0.000	-2.201	0.928	2.209	-2.194	1.166	-2.209	0.099
33.79	-2.094	51.000	0.000	-2.030	0.823	2.046	-2.014	1.272	-2.046	-0.080
34.48	-2.007	51.000	0.000	-1.957	0.872	1.971	-1.942	1.222	-1.971	-0.152
35.17	-1.920	51.000	0.000	-1.966	-1.994	1.937	-1.927	-2.195	-1.937	-0.167
35.86	-1.833	51.000	0.000	-1.796	-1.717	1.796	-1.834	-2.472	-1.796	-0.261
36.55	-1.745	51.000	0.000	-1.710	-1.626	1.710	-1.764	-2.563	-1.710	-0.330
37.24	-1.658	51.000	0.000	-1.625	-1.540	1.625	-1.697	-2.648	-1.625	-0.397
37.93	-1.571	51.000	0.000	-1.570	-1.571	1.570	-1.569	-2.618	-1.570	-0.526
38.62	-1.484	51.000	0.000	-1.588	-1.557	1.588	-1.618	-2.632	-1.588	-0.476
39.31	-1.396	51.000	0.000	-1.361	-1.400	1.361	-1.262	-2.789	-1.361	-0.832
40.00	-1.309	51.000	0.000	-1.342	-1.396	1.287	2.397	-2.793	-1.287	1.792
40.69	-1.222	51.000	0.000	-1.244	-1.149	1.244	-1.483	-3.040	-1.244	-0.612
41.38	-1.134	51.000	0.000	-1.091	-1.088	1.093	-1.153	-3.101	-1.093	-0.941
42.07	-1.047	51.000	0.000	-0.952	-0.952	0.981	-1.285	3.046	-0.981	-0.809
42.76	-0.960	51.000	0.000	-0.985	-0.984	0.986	-1.128	3.079	-0.986	-0.966
43.45	-0.873	51.000	0.000	-0.887	-0.909	0.865	2.317	3.003	-0.865	1.872
44.14	-0.785	51.000	0.000	-0.772	-0.772	0.760	-1.289	2.866	-0.760	-0.805
44.83	-0.698	51.000	0.000	-0.643	-0.643	0.613	-1.405	2.737	-0.613	-0.689
45.52	-0.611	51.000	0.000	-0.632	-0.632	0.652	-1.492	2.726	-0.652	-0.603
46.21	-0.524	51.000	0.000	-0.518	-0.518	0.459	-1.519	2.612	-0.459	-0.575
46.90	-0.436	51.000	0.000	-0.345	-0.345	0.315	-1.735	2.439	-0.315	-0.360
47.59	-0.349	51.000	0.000	-0.375	-0.375	0.355	-1.708	2.469	-0.355	-0.386
48.28	-0.262	51.000	0.000	-0.250	-0.224	2.991	-1.819	2.319	-2.991	-0.275
48.97	-0.175	51.000	0.000	-0.198	-0.198	0.073	-1.874	2.292	-0.073	-0.221
49.66	-0.087	51.000	0.000	-0.071	-0.054	2.909	-2.006	2.149	-2.909	-0.089
50.34	0.000	51.000	0.000	0.019	0.024	3.018	-2.109	2.071	-3.018	0.015
51.03	0.087	51.000	0.000	0.079	0.051	0.321	-2.201	2.043	-0.321	0.107
51.72	0.175	51.000	0.000	0.126	0.103	0.307	-2.243	1.991	-0.307	0.148
52.41	0.262	51.000	0.000	0.327	0.374	0.215	-2.421	1.721	-0.215	0.327
53.10	0.349	51.000	0.000	0.372	0.257	0.546	-2.467	1.837	-0.546	0.372
53.79	0.436	51.000	0.000	0.498	0.537	0.455	-2.592	1.557	-0.455	0.498
54.48	0.524	51.000	0.000	0.519	0.554	0.484	-2.613	1.541	-0.484	0.519
55.17	0.611	51.000	0.000	0.736	0.859	0.467	-2.707	1.236	-0.467	0.613
55.86	0.698	51.000	0.000	0.678	-1.975	0.631	-2.819	-2.214	-0.631	0.724
56.55	0.785	51.000	0.000	0.728	0.644	0.772	-2.823	1.451	-0.772	0.728
57.24	0.873	51.000	0.000	0.875	0.954	0.861	-2.970	1.140	-0.861	0.875
57.93	0.960	51.000	0.000	1.045	-1.831	1.025	3.124	-2.358	-1.025	1.065
58.62	1.047	51.000	0.000	1.028	-1.747	0.993	3.126	-2.442	-0.993	1.063
59.31	1.134	51.000	0.000	1.201	-2.034	1.193	2.980	-2.155	-1.193	1.209
60.00	1.222	51.000	0.000	1.272	0.791	1.272	2.926	1.303	-1.272	1.262
60.69	1.309	51.000	0.000	1.285	0.772	1.285	2.917	1.322	-1.285	1.272
61.38	1.396	51.000	0.000	1.343	-1.817	1.293	2.796	-2.371	-1.293	1.393
62.07	1.484	51.000	0.000	1.493	0.592	1.493	2.704	1.503	-1.493	1.485
62.76	1.571	51.000	0.000	1.609	0.439	1.609	2.632	1.655	-1.609	1.557
63.45	1.658	51.000	0.000	1.722	0.348	1.722	2.508	1.746	-1.722	1.681
64.14	1.745	51.000	0.000	1.718	0.359	1.718	2.501	1.736	-1.718	1.688
64.83	1.833	51.000	0.000	1.807	0.336	1.807	2.223	1.758	-1.807	1.965
65.52	1.920	51.000	0.000	1.875	0.238	1.894	-1.166	1.857	-1.894	-0.929
66.21	2.007	51.000	0.000	1.961	0.146	1.973	-1.202	1.948	-1.973	-0.892
66.90	2.094	51.000	0.000	2.130	-0.036	2.111	2.276	2.130	-2.111	1.912
67.59	2.182	51.000	0.000	2.233	-0.139	2.202	2.357	2.233	-2.202	1.831
68.28	2.269	51.000	0.000	2.265	-0.171	2.165	2.534	2.265	-2.165	1.655
68.97	2.356	51.000	0.000	2.406	-0.312	2.441	2.321	2.406	-2.441	1.868
69.66	2.443	51.000	0.000	2.422	-0.327	2.449	2.360	2.422	-2.449	1.829
70.34	2.531	51.000	0.000	2.568	-0.474	2.640	2.480	2.568	-2.640	1.709
71.03	2.618	51.000	0.000	2.579	-0.484	2.613	2.539	2.579	-2.613	1.650
71.72	2.705	51.000	0.000	2.698	-0.603	2.867	2.583	2.698	-2.867	1.606
72.41	2.793	51.000	0.000	2.704	-0.609	2.858	2.601	2.704	-2.858	1.588
73.10	2.880	51.000	0.000	2.827	-0.732	2.675	2.910	2.827	-2.675	1.279
73.79	2.967	51.000	0.000	3.062	-0.987	0.248	3.043	3.082	-0.248	1.146
74.48	3.054	51.000	0.000	3.072	-0.973	3.005	3.076	3.068	-3.005	1.113
75.17	3.142	51.000	0.000	-3.055	-1.143	0.160	-3.065	-3.045	-0.160	0.970
75.86	-3.054	51.000	0.000	-3.064	-1.137	0.196	-3.077	-3.052	-0.196	0.983
76.55	-2.967	51.000	0.000	-2.937	-1.185	2.759	-2.937	-3.004	-2.759	0.842
77.24	-2.880	51.000	0.000	-2.883	-1.304	2.879	-2.883	-2.884	-2.879	0.789
77.93	-2.793	51.000	0.000	-2.761	-1.438	2.779	-2.761	-2.751	-2.779	0.667
78.62	-2.705	51.000	0.000	-2.721	-1.402	2.510	-2.655	-2.786	-2.510	0.561
79.31	-2.618	51.000	0.000	-2.669	-1.550	2.706	-2.669	-2.639	-2.706	0.575
80.00	-2.531	51.000	0.000	-2.550	-1.703	2.599	-2.550	-2.486	-2.599	0.456
80.69	-2.443	51.000	0.000	-2.490	-1.600	2.422	-2.490	-2.589	-2.422	0.395
81.38	-2.356	51.000	0.000	-2.386	0.830	2.426	-2.346	1.264	-2.426	0.252
82.07	-2.269	51.000	0.000	1.047	0.970	2.318	-2.288	1.124	-2.318	0.194
82.76	-2.182	51.000	0.000	-2.155	0.713	2.188	-2.122	1.381	-2.188	0.027
83.45	-2.094	51.000	0.000	-2.112	0.689	2.150	-2.075	1.405	-2.150	-0.019
84.14	-2.007	51.000	0.000	-1.980	-1.907	1.974	-1.987	-2.282	-1.974	-0.108
84.83	-1.920	51.000	0.000	-1.949	-1.950	1.948	-1.947	-2.239	-1.948	-0.147
85.52	-1.833	51.000	0.000	-1.832	-1.698	1.832	-1.892	-2.491	-1.832	-0.203
86.21	-1.745	51.000	0.000	-1.788	-1.665	1.788	-1.852	-2.524	-1.788	-0.243
86.90	-1.658	51.000	0.000	-1.677	-1.726	1.677	-1.644	-2.463	-1.677	-0.451
87.59	-1.571	51.000	0.000	-1.557	-1.563	1.557	-1.550	-2.626	-1.557	-0.544
88.28	-1.484	51.000	0.000	-1.396	-1.403	1.396	-1.385	-2.786	-1.396	-0.710
88.97	-1.396	51.000	0.000	-1.301	-1.319	1.301	-1.243	-2.870	-1.301	-0.852
89.66	-1.309	51.000	0.000	-1.240	-1.267	1.212	2.330	-2.922	-1.212	1.859
90.34	-1.222	51.000	0.000	-1.289	-1.261	1.289	-1.365	-2.928	-1.289	-0.729
