percent	ang_W	r	phase	choose_angle	delta_1_x_3	delta_2_x_1	delta_3_x_2	delta_3_x_1	delta_1_x_2	delta_2_x_3
57.93	0.960	51.000	0.000	-2.094	-1.951	0.953	-3.064	-2.238	-0.953	0.969
58.62	1.047	51.000	0.000	1.066	0.990	1.066	3.124	1.104	-1.066	1.065
59.31	1.134	51.000	0.000	1.133	0.948	1.134	3.056	1.146	-1.134	1.133
60.00	1.222	51.000	0.000	1.217	0.796	1.217	2.994	1.299	-1.217	1.195
60.69	1.309	51.000	0.000	1.317	0.727	1.317	2.892	1.367	-1.317	1.297
61.38	1.396	51.000	0.000	1.406	0.663	1.406	2.797	1.431	-1.406	1.391
62.07	1.484	51.000	0.000	1.477	0.594	1.477	2.729	1.501	-1.477	1.460
62.76	1.571	51.000	0.000	1.569	0.504	1.569	2.641	1.591	-1.569	1.547
63.45	1.658	51.000	0.000	1.651	0.430	1.651	2.557	1.665	-1.651	1.632
64.14	1.745	51.000	0.000	1.756	0.349	1.756	2.411	1.746	-1.756	1.778
64.83	1.833	51.000	0.000	1.836	0.258	1.836	2.354	1.837	-1.836	1.835
65.52	1.920	51.000	0.000	1.917	0.175	1.917	2.283	1.919	-1.917	1.906
66.21	2.007	51.000	0.000	2.023	0.079	2.030	-1.194	2.015	-2.030	-0.900
66.90	2.094	51.000	0.000	2.091	-0.006	2.091	2.220	2.100	-2.091	1.968
67.59	2.182	51.000	0.000	2.186	-0.091	2.181	2.219	2.186	-2.181	1.969
68.28	2.269	51.000	0.000	2.275	-0.181	2.265	2.316	2.275	-2.265	1.873
68.97	2.356	51.000	0.000	2.381	-0.287	2.384	2.373	2.381	-2.384	1.815
69.66	2.443	51.000	0.000	2.437	-0.342	2.449	2.411	2.437	-2.449	1.778
70.34	2.531	51.000	0.000	2.531	-0.437	2.535	2.526	2.531	-2.535	1.663
71.03	2.618	51.000	0.000	2.627	-0.533	2.630	2.624	2.627	-2.630	1.565
71.72	2.705	51.000	0.000	2.718	-0.623	2.720	2.716	2.718	-2.720	1.473
72.41	2.793	51.000	0.000	2.798	-0.704	2.807	2.794	2.798	-2.807	1.395
73.10	2.880	51.000	0.000	2.889	-0.795	2.927	2.877	2.889	-2.927	1.312
73.79	2.967	51.000	0.000	3.015	-0.891	3.045	2.976	2.986	-3.045	1.213
74.48	3.054	51.000	0.000	3.067	-0.964	3.076	3.057	3.059	-3.076	1.132
75.17	3.142	51.000	0.000	3.140	-1.046	2.956	-3.123	3.140	-2.956	1.029
75.86	-3.054	51.000	0.000	-3.072	-1.138	3.091	-3.054	-3.051	-3.091	0.959
76.55	-2.967	51.000	0.000	-2.976	-1.207	2.951	-2.976	-2.981	-2.951	0.881
77.24	-2.880	51.000	0.000	-2.889	-1.296	2.878	-2.889	-2.892	-2.878	0.794
77.93	-2.793	51.000	0.000	-2.791	-1.387	2.772	-2.791	-2.802	-2.772	0.697
78.62	-2.705	51.000	0.000	-2.697	-1.495	2.701	-2.697	-2.694	-2.701	0.603
79.31	-2.618	51.000	0.000	-2.605	-1.599	2.618	-2.605	-2.590	-2.618	0.510
80.00	-2.531	51.000	0.000	-2.517	-1.685	2.527	-2.517	-2.504	-2.527	0.423
80.69	-2.443	51.000	0.000	-2.436	-1.730	2.424	-2.436	-2.459	-2.424	0.341
81.38	-2.356	51.000	0.000	-2.342	-1.929	2.366	-2.342	-2.260	-2.366	0.248
82.07	-2.269	51.000	0.000	-2.262	-1.921	2.262	-2.263	-2.268	-2.262	0.168
82.76	-2.182	51.000	0.000	-2.188	-1.994	2.188	-2.188	-2.195	-2.188	0.094
83.45	-2.094	51.000	0.000	-2.084	-1.984	2.081	-2.088	-2.205	-2.081	-0.007
84.14	-2.007	51.000	0.000	-2.023	-2.036	2.011	-2.009	-2.153	-2.011	-0.086
84.83	-1.920	51.000	0.000	-1.925	-1.874	1.919	-1.931	-2.315	-1.919	-0.163
85.52	-1.833	51.000	0.000	-1.831	-1.850	1.831	-1.825	-2.339	-1.831	-0.269
86.21	-1.745	51.000	0.000	-1.736	-1.772	1.736	-1.718	-2.417	-1.736	-0.377
86.90	-1.658	51.000	0.000	-1.682	-1.673	1.682	-1.689	-2.516	-1.682	-0.405
87.59	-1.571	51.000	0.000	-1.558	-1.551	1.558	-1.565	-2.638	-1.558	-0.529
88.28	-1.484	51.000	0.000	-1.506	-1.524	1.506	-1.483	-2.665	-1.506	-0.611
88.97	-1.396	51.000	0.000	-1.403	-1.399	1.403	-1.412	-2.790	-1.403	-0.683
89.66	-1.309	51.000	0.000	-1.310	-1.298	1.310	-1.341	-2.891	-1.310	-0.754
90.34	-1.222	51.000	0.000	-1.231	-1.225	1.231	-1.255	-2.964	-1.231	-0.840
91.03	-1.134	51.000	0.000	-1.141	-1.138	1.141	-1.168	-3.051	-1.141	-0.927
91.72	-1.047	51.000	0.000	-1.044	-1.038	1.049	-1.188	3.132	-1.049	-0.906
92.41	-0.960	51.000	0.000	-0.940	-0.940	0.948	-1.208	3.034	-0.948	-0.887
93.10	-0.873	51.000	0.000	-0.858	-0.858	0.869	-1.278	2.953	-0.869	-0.817
93.79	-0.785	51.000	0.000	-0.768	-0.768	0.789	-1.375	2.863	-0.789	-0.719
94.48	-0.698	51.000	0.000	-0.711	-0.711	0.727	-1.413	2.806	-0.727	-0.681
95.17	-0.611	51.000	0.000	-0.606	-0.606	0.608	-1.491	2.700	-0.608	-0.604
95.86	-0.524	51.000	0.000	-0.537	-0.537	0.504	-1.522	2.632	-0.504	-0.573
96.55	-0.436	51.000	0.000	-0.432	-0.432	0.435	-1.665	2.526	-0.435	-0.429
97.24	-0.349	51.000	0.000	-0.349	-0.349	0.340	-1.740	2.444	-0.340	-0.354
97.93	-0.262	51.000	0.000	-0.250	-0.250	0.224	-1.836	2.345	-0.224	-0.259
98.62	-0.175	51.000	0.000	-0.177	-0.177	0.186	-1.920	2.271	-0.186	-0.175
99.31	-0.087	51.000	0.000	3.142	-0.087	3.077	-2.000	2.181	-3.077	-0.094
100.00	0.000	51.000	0.000	0.017	0.006	0.143	-2.112	2.089	-0.143	0.017
