Caso	R²
Ideal	\SI{100.00}{\percent}
$\text{\acs{SNR}} = \SI{0}{\deci\bel}$	\SI{80.15}{\percent}
$\text{\acs{SNR}} = \SI{0}{\deci\bel}$ e \acs{ATT}	\SI{99.98}{\percent}
